0,1,2,3,4,5,6,7,8,9
Jack Grealish,2018,35,6,8,5,0,0,3031,
Jack Grealish,2019,41,10,8,8,0,0,3550,
Jack Grealish,2020,27,7,12,5,0,0,2275,
Jack Grealish,2021,29,4,3,2,0,0,2110,
Romelu Lukaku,2018,45,15,4,5,0,0,3001,
Romelu Lukaku,2019,51,34,6,2,0,0,4189,
Romelu Lukaku,2020,44,30,10,7,0,0,3565,
Romelu Lukaku,2021,34,12,2,0,0,0,2247,
Jadon Sancho,2018,43,13,20,3,0,0,2967,
Jadon Sancho,2019,44,20,20,2,0,0,3274,
Jadon Sancho,2020,38,16,20,1,0,0,2974,
Jadon Sancho,2021,33,5,3,0,0,0,2078,
Dusan Vlahovic,2018,31,19,1,3,0,0,1946,
Dusan Vlahovic,2019,35,9,2,5,0,1,1889,
Dusan Vlahovic,2020,40,21,2,1,0,0,3090,
Dusan Vlahovic,2021,35,25,6,4,0,0,2942,
Lionel Messi,2018,50,51,22,3,0,0,4023,
Lionel Messi,2019,44,31,27,7,0,0,3810,
Lionel Messi,2020,47,38,14,6,0,1,4192,
Lionel Messi,2021,26,7,11,1,0,0,2152,
Raphaël Varane,2018,43,2,0,1,0,1,3775,
Raphaël Varane,2019,43,3,1,3,0,0,3843,
Raphaël Varane,2020,41,2,0,4,0,0,3571,
Raphaël Varane,2021,24,0,1,1,0,0,1911,
Achraf Hakimi,2018,28,3,7,5,0,0,2349,
Achraf Hakimi,2019,45,9,10,5,0,0,3571,
Achraf Hakimi,2020,45,7,11,9,0,0,3211,
Achraf Hakimi,2021,32,3,4,5,0,1,2597,
Dayot Upamecano,2018,22,0,0,6,0,0,1852,
Dayot Upamecano,2019,38,0,2,9,1,0,3182,
Dayot Upamecano,2020,41,1,1,10,0,0,3407,
Dayot Upamecano,2021,30,1,4,6,0,0,2294,
Antoine Griezmann,2018,48,21,10,8,0,0,4068,
Antoine Griezmann,2019,48,15,4,4,0,0,3499,
Antoine Griezmann,2020,51,20,13,5,0,0,3903,
Antoine Griezmann,2021,28,8,5,2,0,1,1811,
Gianluigi Donnarumma,2018,39,0,5,0,0,32,15,3362.0
Gianluigi Donnarumma,2019,39,0,3,0,0,45,14,3502.0
Gianluigi Donnarumma,2020,48,0,3,0,1,54,15,4350.0
Gianluigi Donnarumma,2021,19,0,3,0,0,17,8,1710.0
Ben White,2018,24,1,4,2,0,0,2089,
Ben White,2019,49,1,2,6,0,0,4364,
Ben White,2020,39,0,0,3,1,0,3465,
Ben White,2021,31,0,0,1,0,0,2738,
Ferran Torres,2018,37,3,2,6,0,0,1747,
Ferran Torres,2019,44,6,8,6,0,0,3104,
Ferran Torres,2020,36,13,3,1,0,0,2111,
Ferran Torres,2021,21,9,6,1,0,0,1635,
Eduardo Camavinga,2018,7,0,0,1,0,0,364,
Eduardo Camavinga,2019,36,1,2,6,0,1,2783,
Eduardo Camavinga,2020,39,1,3,7,0,0,2742,
Eduardo Camavinga,2021,34,2,1,7,0,0,1226,
David Alaba,2018,43,3,7,4,0,0,3631,
David Alaba,2019,42,2,2,1,0,0,3693,
David Alaba,2020,45,2,7,7,0,0,3793,
David Alaba,2021,38,2,4,4,0,0,3413,
André Silva,2018,40,11,3,4,0,0,2839,
André Silva,2019,38,16,5,4,0,0,2563,
André Silva,2020,34,29,10,1,0,0,2953,
André Silva,2021,39,15,8,2,0,0,2541,
Cristiano Ronaldo,2018,43,28,11,4,0,1,3646,
Cristiano Ronaldo,2019,46,37,7,3,0,0,4081,
Cristiano Ronaldo,2020,44,36,4,5,0,0,3751,
Cristiano Ronaldo,2021,33,18,3,7,0,0,2681,
Memphis Depay,2018,47,12,16,5,0,0,3537,
Memphis Depay,2019,22,15,2,1,0,0,1695,
Memphis Depay,2020,40,22,12,5,0,0,3113,
Memphis Depay,2021,29,10,2,4,0,0,2075,
Bruno Guimarães,2018,35,4,3,7,0,0,2852,
Bruno Guimarães,2019,9,0,0,2,0,0,720,
Bruno Guimarães,2020,37,3,2,6,0,0,2003,
Bruno Guimarães,2021,33,1,6,3,0,0,2157,
Marcel Sabitzer,2018,43,5,6,11,0,0,3287,
Marcel Sabitzer,2019,44,16,11,6,0,0,3558,
Marcel Sabitzer,2020,39,9,7,10,0,0,2969,
Marcel Sabitzer,2021,26,0,0,2,0,0,918,
Ibrahima Konaté,2018,43,3,1,9,0,0,3666,
Ibrahima Konaté,2019,11,0,0,3,0,0,771,
Ibrahima Konaté,2020,21,1,0,4,0,0,1287,
Ibrahima Konaté,2021,19,0,1,4,0,0,1558,
Tammy Abraham,2018,42,26,3,3,0,0,3561,
Tammy Abraham,2019,47,18,6,2,0,0,2960,
Tammy Abraham,2020,32,12,6,0,0,0,1533,
Tammy Abraham,2021,40,23,4,9,0,0,3174,
Martin Ødegaard,2018,39,11,12,4,0,0,3288,
Martin Ødegaard,2019,36,7,9,4,0,0,2934,
Martin Ødegaard,2020,29,2,2,0,0,0,1657,
Martin Ødegaard,2021,30,5,4,2,0,0,2207,
Saúl Ñíguez,2018,45,6,3,11,0,0,3911,
Saúl Ñíguez,2019,47,7,0,13,0,0,4246,
Saúl Ñíguez,2020,41,2,1,12,0,0,2673,
Saúl Ñíguez,2021,23,1,1,3,0,0,1261,
Emiliano Buendía,2018,41,8,17,7,0,1,3053,
Emiliano Buendía,2019,39,1,8,6,0,1,2685,
Emiliano Buendía,2020,41,15,17,4,2,0,3383,
Emiliano Buendía,2021,28,2,4,1,0,0,1713,
Rodrigo de Paul,2018,37,9,7,7,0,0,3314,
Rodrigo de Paul,2019,35,7,7,5,0,1,2917,
Rodrigo de Paul,2020,38,9,11,3,1,1,3400,
Rodrigo de Paul,2021,37,2,2,7,0,0,2417,
Tanguy Ndombélé,2018,49,3,8,3,0,0,3878,
Tanguy Ndombélé,2019,29,2,4,4,0,0,1446,
Tanguy Ndombélé,2020,46,6,4,4,0,0,2828,
Tanguy Ndombélé,2021,23,2,2,3,0,0,1459,
Kurt Zouma,2018,36,2,2,3,1,0,2924,
Kurt Zouma,2019,43,1,3,9,0,0,3704,
Kurt Zouma,2020,36,5,0,3,0,0,2948,
Kurt Zouma,2021,24,1,0,2,0,0,2177,
Leon Bailey,2018,39,5,5,5,0,0,2553,
Leon Bailey,2019,33,7,3,0,0,2,1465,
Leon Bailey,2020,40,15,11,7,0,0,2857,
Leon Bailey,2021,14,1,2,2,0,0,514,
Angeliño,2018,43,1,12,6,0,0,3860,
Angeliño,2019,31,1,7,3,0,0,2527,
Angeliño,2020,37,8,11,5,0,0,3162,
Angeliño,2021,34,2,11,3,1,0,2806,
Cristian Romero,2018,29,2,1,10,1,1,2519,
Cristian Romero,2019,33,1,2,14,1,0,2880,
Cristian Romero,2020,42,3,5,15,0,0,3532,
Cristian Romero,2021,24,1,0,10,1,0,2011,
Moise Kean,2018,17,7,0,2,0,0,661,
Moise Kean,2019,33,2,2,1,0,0,1024,
Moise Kean,2020,45,19,1,5,0,0,2472,
Moise Kean,2021,34,5,2,3,0,1,1138,
Hakan Calhanoglu,2018,46,4,13,6,0,0,3547,
Hakan Calhanoglu,2019,38,11,9,6,0,0,2931,
Hakan Calhanoglu,2020,43,9,12,4,0,0,3348,
Hakan Calhanoglu,2021,36,6,9,7,0,0,2539,
Cristian Romero,2018,29,2,1,10,1,1,2519,
Cristian Romero,2019,33,1,2,14,1,0,2880,
Cristian Romero,2020,42,3,5,15,0,0,3532,
Cristian Romero,2021,24,1,0,10,1,0,2011,
Manuel Locatelli,2018,31,3,4,8,0,0,2028,
Manuel Locatelli,2019,34,0,4,9,0,0,2671,
Manuel Locatelli,2020,34,4,3,9,0,0,2885,
Manuel Locatelli,2021,39,3,5,6,0,0,2812,
Robin Gosens,2018,36,3,2,5,0,0,2488,
Robin Gosens,2019,43,10,8,4,0,0,3372,
Robin Gosens,2020,44,12,8,8,1,0,3525,
Robin Gosens,2021,12,2,2,3,0,0,647,
Anthony Martial,2018,38,12,3,3,0,0,2327,
Anthony Martial,2019,48,23,12,1,0,0,3566,
Anthony Martial,2020,36,7,9,1,0,1,2422,
Anthony Martial,2021,19,2,1,0,0,0,825,
Patson Daka,2018,26,6,2,2,0,0,1137,
Patson Daka,2019,45,27,12,1,0,0,2690,
Patson Daka,2020,42,34,12,4,0,0,2905,
Patson Daka,2021,28,10,4,1,0,0,1538,
Chris Wood,2018,46,13,3,2,0,0,2970,
Chris Wood,2019,35,14,1,1,0,0,2606,
Chris Wood,2020,37,12,4,0,0,0,2954,
Chris Wood,2021,31,4,0,1,0,0,2457,
Lucas Digne,2018,37,4,5,6,0,1,3146,
Lucas Digne,2019,39,1,8,7,0,0,3396,
Lucas Digne,2020,36,0,7,3,0,1,3191,
Lucas Digne,2021,23,1,1,5,0,0,1916,
Matheus Cunha,2018,39,9,2,3,0,0,1952,
Matheus Cunha,2019,24,5,3,3,0,0,1103,
Matheus Cunha,2020,28,8,7,9,0,0,2242,
Matheus Cunha,2021,27,6,3,4,0,0,895,
Bryan Gil,2018,36,5,7,7,0,1,1902,
Bryan Gil,2019,19,2,1,4,0,0,810,
Bryan Gil,2020,30,4,4,6,0,0,2303,
Bryan Gil,2021,30,0,2,6,0,0,1479,
Matteo Politano,2018,48,6,6,5,0,1,3438,
Matteo Politano,2019,35,2,2,2,0,0,1198,
Matteo Politano,2020,50,12,5,5,0,0,2669,
Matteo Politano,2021,33,3,7,2,0,0,1687,
Dejan Kulusevski,2018,26,11,14,5,0,0,2082,
Dejan Kulusevski,2019,39,10,9,3,0,0,3064,
Dejan Kulusevski,2020,47,7,7,8,0,0,2738,
Dejan Kulusevski,2021,38,4,7,3,0,0,1781,
Joaquín Correa,2018,44,9,7,6,0,1,2710,
Joaquín Correa,2019,35,10,5,0,0,0,2383,
Joaquín Correa,2020,38,11,6,3,1,0,2673,
Joaquín Correa,2021,25,4,1,3,0,0,760,
Georginio Wijnaldum,2018,47,5,1,4,0,0,3705,
Georginio Wijnaldum,2019,47,6,0,0,0,0,3644,
Georginio Wijnaldum,2020,51,3,0,3,0,0,3922,
Georginio Wijnaldum,2021,31,3,3,2,0,0,1745,
Danny Ings,2018,25,8,3,1,0,0,1756,
Danny Ings,2019,42,25,3,3,0,0,3099,
Danny Ings,2020,33,13,4,1,0,0,2531,
Danny Ings,2021,24,5,5,2,0,0,1621,
Joe Willock,2018,20,12,2,2,0,0,1551,
Joe Willock,2019,44,5,1,4,0,0,1855,
Joe Willock,2020,32,11,3,2,0,0,1979,
Joe Willock,2021,26,2,0,0,0,0,1808,
Daniel James,2018,38,5,10,2,0,0,2815,
Daniel James,2019,46,4,7,4,0,0,3005,
Daniel James,2020,26,5,2,3,0,0,1521,
Daniel James,2021,31,4,4,6,0,0,2435,
Fikayo Tomori,2018,55,2,1,9,0,0,4811,
Fikayo Tomori,2019,22,2,1,4,0,0,1868,
Fikayo Tomori,2020,26,1,0,0,0,0,2129,
Fikayo Tomori,2021,31,1,0,4,0,0,2558,
Boubakary Soumaré,2018,24,1,0,3,0,0,1008,
Boubakary Soumaré,2019,30,0,1,0,1,1,2082,
Boubakary Soumaré,2020,43,0,2,4,0,0,2583,
Boubakary Soumaré,2021,29,0,1,2,0,0,1619,
Merih Demiral,2018,34,3,0,7,0,1,3062,
Merih Demiral,2019,8,1,1,1,0,0,598,
Merih Demiral,2020,24,0,1,4,1,0,1661,
Merih Demiral,2021,32,2,2,9,0,0,2521,
Adama Traoré,2018,36,1,3,1,0,0,1255,
Adama Traoré,2019,54,6,12,2,0,0,3834,
Adama Traoré,2020,41,3,3,5,0,0,2850,
Adama Traoré,2021,33,1,4,0,0,0,1714,
Bryan Gil,2018,36,5,7,7,0,1,1902,
Bryan Gil,2019,19,2,1,4,0,0,810,
Bryan Gil,2020,30,4,4,6,0,0,2303,
Bryan Gil,2021,30,0,2,6,0,0,1479,
Denis Zakaria,2018,32,4,1,7,0,0,1970,
Denis Zakaria,2019,31,2,2,9,0,0,2667,
Denis Zakaria,2020,32,1,1,6,0,0,1726,
Denis Zakaria,2021,23,3,1,5,0,0,1807,
Marash Kumbulla,2018,6,0,0,0,0,0,304,
Marash Kumbulla,2019,26,1,0,5,1,0,2078,
Marash Kumbulla,2020,28,2,0,9,0,0,1979,
Marash Kumbulla,2021,22,1,0,7,0,0,1441,
Emerson Royal,2018,7,0,0,1,0,0,317,
Emerson Royal,2019,34,3,6,11,0,0,2960,
Emerson Royal,2020,38,2,4,9,0,1,3181,
Emerson Royal,2021,35,0,1,3,0,0,2139,
Rodrigo Bentancur,2018,40,2,3,8,1,0,2724,
Rodrigo Bentancur,2019,43,1,8,11,1,0,3095,
Rodrigo Bentancur,2020,45,0,4,9,1,0,3184,
Rodrigo Bentancur,2021,35,0,4,3,0,0,2211,
Mike Maignan,2018,42,0,2,0,0,37,17,3780.0
Mike Maignan,2019,37,0,0,0,0,45,13,3312.0
Mike Maignan,2020,48,0,3,0,0,38,23,4320.0
Mike Maignan,2021,30,0,2,0,0,27,13,2730.0
Emerson Royal,2018,7,0,0,1,0,0,317,
Emerson Royal,2019,34,3,6,11,0,0,2960,
Emerson Royal,2020,38,2,4,9,0,1,3181,
Emerson Royal,2021,35,0,1,3,0,0,2139,
Roger Ibañez,2018,1,0,0,0,0,0,1,
Roger Ibañez,2019,11,0,0,2,0,0,725,
Roger Ibañez,2020,40,2,2,7,1,0,3000,
Roger Ibañez,2021,38,4,0,10,0,0,3086,
Héctor Bellerín,2018,19,0,5,3,0,0,1533,
Héctor Bellerín,2019,25,1,2,3,0,0,1949,
Héctor Bellerín,2020,35,1,4,8,0,0,2775,
Héctor Bellerín,2021,27,0,4,2,0,1,2150,
Donny van de Beek,2018,57,17,13,4,0,0,4116,
Donny van de Beek,2019,37,10,11,5,0,0,3171,
Donny van de Beek,2020,36,1,2,1,0,0,1456,
Donny van de Beek,2021,20,1,0,2,0,0,810,
Dele Alli,2018,38,7,8,5,0,0,2963,
Dele Alli,2019,38,9,6,4,0,0,2772,
Dele Alli,2020,29,3,5,3,0,0,1355,
Dele Alli,2021,24,2,1,3,0,0,1211,
Nicolás González,2018,33,2,4,2,0,1,2358,
Nicolás González,2019,29,15,4,8,0,0,2077,
Nicolás González,2020,17,6,2,6,0,0,1084,
Nicolás González,2021,29,3,8,0,1,0,1830,
Enock Mwepu,2018,28,2,3,1,0,0,1329,
Enock Mwepu,2019,36,5,7,6,1,0,2489,
Enock Mwepu,2020,45,10,7,7,0,0,3442,
Enock Mwepu,2021,15,2,5,1,0,0,834,
Joachim Andersen,2018,34,0,0,7,0,0,3090,
Joachim Andersen,2019,32,2,0,4,0,0,2425,
Joachim Andersen,2020,34,1,1,8,0,1,2921,
Joachim Andersen,2021,29,0,1,3,0,0,2465,
Jonathan Ikoné,2018,41,3,11,3,0,0,3006,
Jonathan Ikoné,2019,36,4,7,7,0,0,2649,
Jonathan Ikoné,2020,48,7,7,2,0,0,2696,
Jonathan Ikoné,2021,37,2,4,5,0,0,1837,
Francisco Trincão,2018,15,0,1,1,0,0,514,
Francisco Trincão,2019,40,9,13,1,0,0,2266,
Francisco Trincão,2020,42,3,2,3,0,0,1309,
Francisco Trincão,2021,24,2,1,0,0,0,1191,
Giovani Lo Celso,2018,46,16,6,10,1,0,3497,
Giovani Lo Celso,2019,37,2,3,8,0,0,2152,
Giovani Lo Celso,2020,28,5,1,5,0,0,1524,
Giovani Lo Celso,2021,28,1,2,0,0,0,1560,
Juan Musso,2018,29,0,4,0,0,40,7,2610.0
Juan Musso,2019,39,0,1,0,0,52,14,3510.0
Juan Musso,2020,36,0,5,0,0,52,8,3268.0
Juan Musso,2021,37,0,1,0,1,46,12,3293.0
Takehiro Tomiyasu,2018,40,1,0,5,0,0,3600,
Takehiro Tomiyasu,2019,30,1,3,8,0,0,2622,
Takehiro Tomiyasu,2020,33,2,0,4,0,0,2929,
Takehiro Tomiyasu,2021,18,0,1,2,0,0,1485,
Marc Cucurella,2018,33,2,2,6,0,0,2536,
Marc Cucurella,2019,46,1,6,10,0,0,3749,
Marc Cucurella,2020,39,3,2,9,0,0,3324,
Marc Cucurella,2021,30,0,2,4,0,0,2480,
Hamed Junior Traorè,2018,33,2,2,4,0,0,2299,
Hamed Junior Traorè,2019,33,5,1,3,0,0,1749,
Hamed Junior Traorè,2020,35,5,3,6,0,0,1787,
Hamed Junior Traorè,2021,25,5,4,3,0,0,1410,
Musa Barrow,2018,30,5,2,0,0,0,956,
Musa Barrow,2019,26,9,5,1,0,0,1540,
Musa Barrow,2020,40,9,10,0,0,0,3089,
Musa Barrow,2021,26,5,5,0,0,0,1639,
Wout Weghorst,2018,36,18,7,4,0,0,3118,
Wout Weghorst,2019,43,20,5,10,0,0,3710,
Wout Weghorst,2020,41,25,9,3,0,0,3537,
Wout Weghorst,2021,33,8,3,5,0,0,2828,
Tiemoué Bakayoko,2018,42,1,1,8,1,0,3274,
Tiemoué Bakayoko,2019,23,1,2,4,0,1,1899,
Tiemoué Bakayoko,2020,44,2,2,5,1,0,2658,
Tiemoué Bakayoko,2021,17,0,0,4,0,0,597,
Lucas Torreira,2018,50,2,5,7,0,1,3219,
Lucas Torreira,2019,39,2,1,7,0,0,2041,
Lucas Torreira,2020,26,1,1,3,0,0,722,
Lucas Torreira,2021,28,4,1,5,1,0,2151,
Eric García,2018,21,2,1,0,0,0,1791,
Eric García,2019,25,0,1,1,0,0,1868,
Eric García,2020,12,0,0,1,0,0,858,
Eric García,2021,27,0,0,6,1,1,2120,
Mattéo Guendouzi,2018,48,1,2,12,1,0,3040,
Mattéo Guendouzi,2019,34,0,3,8,0,0,2377,
Mattéo Guendouzi,2020,24,2,3,5,0,0,1817,
Mattéo Guendouzi,2021,43,4,13,8,0,0,3556,
Jérémie Boga,2018,27,3,1,0,0,0,1474,
Jérémie Boga,2019,35,11,4,0,0,0,2608,
Jérémie Boga,2020,28,4,2,0,0,0,1836,
Jérémie Boga,2021,23,2,4,0,0,0,1224,
Ilaix Moriba,2018,5,1,1,1,0,0,298,
Ilaix Moriba,2019,14,1,1,1,0,0,722,
Ilaix Moriba,2020,29,2,4,5,0,0,1558,
Ilaix Moriba,2021,15,0,0,4,1,0,617,
Jannik Vestergaard,2018,26,0,0,2,0,0,2330,
Jannik Vestergaard,2019,21,1,0,3,0,0,1636,
Jannik Vestergaard,2020,32,3,0,4,0,1,2741,
Jannik Vestergaard,2021,20,0,0,4,0,0,1171,
Mohamed Simakan,2018,0,0,0,0,0,0,0,
Mohamed Simakan,2019,25,0,0,6,0,0,1879,
Mohamed Simakan,2020,19,1,1,2,0,0,1618,
Mohamed Simakan,2021,33,1,1,7,0,0,2444,
Kieran Trippier,2018,38,1,5,3,0,0,3174,
Kieran Trippier,2019,33,0,5,2,0,0,2730,
Kieran Trippier,2020,35,0,6,0,0,0,3086,
Kieran Trippier,2021,23,2,0,1,0,0,1606,
Rayan Aït-Nouri,2018,3,0,0,1,0,0,53,
Rayan Aït-Nouri,2019,17,0,3,3,0,0,1286,
Rayan Aït-Nouri,2020,27,1,2,2,0,0,1815,
Rayan Aït-Nouri,2021,21,0,6,4,0,0,1711,
Dennis Praet,2018,37,2,3,7,0,0,3194,
Dennis Praet,2019,36,1,3,2,0,0,1805,
Dennis Praet,2020,24,2,2,0,0,0,1202,
Dennis Praet,2021,18,2,1,2,0,0,1071,
Cengiz Ünder,2018,33,6,10,1,0,0,1892,
Cengiz Ünder,2019,23,3,0,3,0,0,1152,
Cengiz Ünder,2020,19,2,3,0,0,0,941,
Cengiz Ünder,2021,36,11,4,1,1,0,2649,
Sergio Agüero,2018,46,32,10,5,0,0,3370,
Sergio Agüero,2019,32,23,4,1,0,0,2092,
Sergio Agüero,2020,20,6,1,0,0,0,720,
Sergio Agüero,2021,5,1,0,0,0,0,165,
William Saliba,2018,22,0,0,2,0,0,1816,
William Saliba,2019,17,0,0,1,0,0,1441,
William Saliba,2020,30,1,0,5,1,0,2658,
William Saliba,2021,40,0,0,6,0,0,3595,
Willian José,2018,34,11,5,5,0,1,2584,
Willian José,2019,41,11,1,5,0,0,2160,
Willian José,2020,39,7,2,0,0,0,2145,
Willian José,2021,35,10,5,2,0,0,1735,
Yangel Herrera,2018,16,0,0,5,0,0,1158,
Yangel Herrera,2019,36,2,3,15,0,0,2832,
Yangel Herrera,2020,46,8,2,11,0,0,3356,
Yangel Herrera,2021,16,1,1,3,0,0,1088,
Philippe Coutinho,2018,54,11,5,2,0,0,3345,
Philippe Coutinho,2019,38,11,9,0,0,0,2145,
Philippe Coutinho,2020,14,3,2,0,0,0,792,
Philippe Coutinho,2021,26,6,3,1,0,0,1386,
Loïc Badé,2018,17,0,0,6,0,0,1509,
Loïc Badé,2019,7,0,0,1,0,0,585,
Loïc Badé,2020,33,0,0,9,1,0,2779,
Loïc Badé,2021,21,1,1,2,2,0,1597,
Alphonse Areola,2018,31,0,1,0,0,27,16,2805.0
Alphonse Areola,2019,13,0,1,0,0,14,5,1124.0
Alphonse Areola,2020,37,0,2,0,0,48,10,3330.0
Alphonse Areola,2021,14,0,0,0,0,11,7,1320.0
Pierluigi Gollini,2018,27,0,1,0,0,25,8,2460.0
Pierluigi Gollini,2019,41,0,3,0,0,57,10,3605.0
Pierluigi Gollini,2020,32,0,0,0,1,32,13,2789.0
Pierluigi Gollini,2021,10,0,0,0,0,11,2,900.0
Matt Targett,2018,21,1,3,2,0,0,1526,
Matt Targett,2019,32,2,2,4,0,0,2608,
Matt Targett,2020,38,0,2,7,0,0,3405,
Matt Targett,2021,26,1,1,2,0,0,2243,
Rafa Mir,2018,30,7,1,5,0,0,1650,
Rafa Mir,2019,31,9,3,3,0,1,1444,
Rafa Mir,2020,39,16,1,2,0,0,2992,
Rafa Mir,2021,39,11,0,4,0,0,2236,
Andy Delort,2018,38,14,7,4,0,0,3242,
Andy Delort,2019,31,12,3,6,0,0,2684,
Andy Delort,2020,34,19,10,4,0,0,2821,
Andy Delort,2021,30,11,4,4,0,0,2161,
Alexander Sörloth,2018,38,6,4,1,0,0,2366,
Alexander Sörloth,2019,49,33,11,3,0,1,4075,
Alexander Sörloth,2020,37,6,3,2,0,0,1718,
Alexander Sörloth,2021,35,5,1,1,0,0,1487,
Erik Lamela,2018,33,6,3,6,0,0,1550,
Erik Lamela,2019,35,4,5,5,0,0,1659,
Erik Lamela,2020,35,4,1,5,1,0,1418,
Erik Lamela,2021,17,4,2,5,0,0,741,
Benjamin Henrichs,2018,30,1,3,4,0,0,2457,
Benjamin Henrichs,2019,15,0,0,3,0,0,1069,
Benjamin Henrichs,2020,20,0,1,5,0,0,704,
Benjamin Henrichs,2021,27,3,3,3,0,0,1357,
Gregor Kobel,2018,25,0,0,0,0,52,6,2230.0
Gregor Kobel,2019,31,0,0,0,0,37,11,2722.0
Gregor Kobel,2020,34,0,0,0,0,54,6,3060.0
Gregor Kobel,2021,37,0,0,0,0,56,10,3285.0
Juan Foyth,2018,17,1,0,4,0,1,1258,
Juan Foyth,2019,7,0,0,1,0,0,262,
Juan Foyth,2020,32,1,2,7,0,0,2448,
Juan Foyth,2021,27,0,0,4,1,0,2213,
Junior Firpo,2018,29,3,5,9,0,0,2314,
Junior Firpo,2019,23,1,2,6,0,0,1396,
Junior Firpo,2020,18,1,1,3,0,0,864,
Junior Firpo,2021,23,0,1,9,0,0,1646,
Maxwel Cornet,2018,36,12,5,2,0,0,1692,
Maxwel Cornet,2019,38,6,5,3,0,0,2546,
Maxwel Cornet,2020,39,4,6,5,0,0,2689,
Maxwel Cornet,2021,20,6,1,2,1,0,1275,
Gaëtan Laborde,2018,42,13,5,1,0,1,3234,
Gaëtan Laborde,2019,33,7,6,1,0,0,2668,
Gaëtan Laborde,2020,43,18,9,3,0,0,3566,
