team_name,team_url,team_manager,team_league_matches,team_league_pd,team_league_pts,team_avg_age,team_foreigners,team_avg_val,team_total_val,team_transfer_income,team_transfer_expense,team_transfer_net,team_rank,season
Manchester City,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,Pep Guardiola,38,72,98,24.3,34,26160000,1200000000,57600000,78590000,-20990000,1,2018
Liverpool FC,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2018,Jürgen Klopp,38,67,97,24.7,25,30060000,1170000000,41320000,182200000,-140880000,2,2018
Chelsea FC,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2018,Antonio Conte,38,24,72,25.6,40,21600000,1170000000,83250000,208800000,-125550000,3,2018
Tottenham Hotspur,https://www.transfermarkt.com/tottenham-hotspur/startseite/verein/148/saison_id/2018,Mauricio Pochettino,38,28,71,25.4,20,26430000,898600000,5350000,0,5350000,4,2018
Manchester United,https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2018,José Mourinho,38,11,66,25.3,22,22160000,797600000,30550000,82700000,-52150000,6,2018
Arsenal FC,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2018,Unai Emery,38,22,70,24.9,28,15690000,659050000,9100000,80150000,-71050000,5,2018
Everton FC,https://www.transfermarkt.com/fc-everton/startseite/verein/29/saison_id/2018,Marco Silva,38,8,54,26.0,28,13230000,529100000,28650000,99800000,-71150000,8,2018
Leicester City,https://www.transfermarkt.com/leicester-city/startseite/verein/1003/saison_id/2018,Claude Puel,38,3,52,26.4,26,11730000,434100000,95800000,114600000,-18800000,9,2018
West Ham United,https://www.transfermarkt.com/west-ham-united/startseite/verein/379/saison_id/2018,Manuel Pellegrini,38,-3,52,26.6,23,9700000,359000000,13770000,100900000,-87130000,10,2018
AFC Bournemouth,https://www.transfermarkt.com/afc-bournemouth/startseite/verein/989/saison_id/2018,Eddie Howe,38,-14,45,25.7,16,8380000,310000000,20200000,89100000,-68900000,14,2018
Southampton FC,https://www.transfermarkt.com/fc-southampton/startseite/verein/180/saison_id/2018,Mark Hughes,38,-20,39,24.9,18,7640000,305400000,26100000,62250000,-36150000,16,2018
Wolverhampton Wanderers,https://www.transfermarkt.com/wolverhampton-wanderers/startseite/verein/543/saison_id/2018,Nuno Espírito Santo,38,1,57,24.1,26,7570000,302900000,23300000,112750000,-89450000,7,2018
Crystal Palace,https://www.transfermarkt.com/crystal-palace/startseite/verein/873/saison_id/2018,Roy Hodgson,38,-2,49,26.4,21,8029999,289000000,350000,11850000,-11500000,12,2018
Fulham FC,https://www.transfermarkt.com/fc-fulham/startseite/verein/931/saison_id/2018,Slavisa Jokanovic,38,-47,26,25.7,26,7700000,254250000,5350000,116500000,-111150000,19,2018
Newcastle United,https://www.transfermarkt.com/newcastle-united/startseite/verein/762/saison_id/2018,Rafael Benítez,38,-6,45,26.0,22,6610000,244650000,51050000,59750000,-8700000,13,2018
Watford FC,https://www.transfermarkt.com/fc-watford/startseite/verein/1010/saison_id/2018,Javi Gracia,38,-7,50,26.2,32,6130000,239100000,51840000,30100000,21740000,11,2018
Burnley FC,https://www.transfermarkt.com/fc-burnley/startseite/verein/1132/saison_id/2018,Sean Dyche,38,-23,40,28.1,14,5980000,197250000,8000000,33000000,-25000000,15,2018
Brighton & Hove Albion,https://www.transfermarkt.com/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2018,Chris Hughton,38,-25,36,25.8,29,4740000,194350000,13620000,87120000,-73500000,17,2018
Huddersfield Town,https://www.transfermarkt.com/huddersfield-town/startseite/verein/1110/saison_id/2018,David Wagner,38,-54,16,25.3,21,4170000,137450000,12330000,50700000,-38370000,20,2018
Cardiff City,https://www.transfermarkt.com/cardiff-city/startseite/verein/603/saison_id/2018,Neil Warnock,38,-35,34,27.3,20,3230000,113000000,0,51200000,-51200000,18,2018
Manchester City,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2019,Pep Guardiola,38,67,81,25.1,23,30840000,1050000000,71000000,159520000,-88520000,2,2019
Liverpool FC,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2019,Jürgen Klopp,38,52,99,23.3,31,17900000,1000000000,44500000,10400000,34100000,1,2019
Tottenham Hotspur,https://www.transfermarkt.com/tottenham-hotspur/startseite/verein/148/saison_id/2019,Mauricio Pochettino,38,14,59,24.8,22,22410000,806800000,64500000,148500000,-84000000,6,2019
Chelsea FC,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2019,Frank Lampard,38,15,66,24.1,22,19610000,705850000,157270000,45000000,112270000,4,2019
Manchester United,https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2019,Ole Gunnar Solskjaer,38,30,66,23.9,24,15590000,670450000,81180000,234800000,-153620000,3,2019
Arsenal FC,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2019,Unai Emery,38,8,56,24.3,23,15990000,607650000,53650000,160800000,-107150000,8,2019
Everton FC,https://www.transfermarkt.com/fc-everton/startseite/verein/29/saison_id/2019,Marco Silva,38,-12,49,26.0,21,12010000,420300000,87800000,121000000,-33200000,12,2019
Leicester City,https://www.transfermarkt.com/leicester-city/startseite/verein/1003/saison_id/2019,Brendan Rodgers,38,26,62,25.9,18,12850000,411100000,88500000,104300000,-15800000,5,2019
Wolverhampton Wanderers,https://www.transfermarkt.com/wolverhampton-wanderers/startseite/verein/543/saison_id/2019,Nuno Espírito Santo,38,11,59,23.1,30,7280000,320330000,24100000,116700000,-92600000,7,2019
West Ham United,https://www.transfermarkt.com/west-ham-united/startseite/verein/379/saison_id/2019,Manuel Pellegrini,38,-13,39,26.5,25,7990000,303600000,55230000,119800000,-64570000,16,2019
AFC Bournemouth,https://www.transfermarkt.com/afc-bournemouth/startseite/verein/989/saison_id/2019,Eddie Howe,38,-25,34,24.8,16,6980000,272180000,34630000,54910000,-20280000,18,2019
Newcastle United,https://www.transfermarkt.com/newcastle-united/startseite/verein/762/saison_id/2019,Steve Bruce,38,-20,44,26.0,22,6160000,252480000,35640000,72900000,-37260000,13,2019
Aston Villa,https://www.transfermarkt.com/aston-villa/startseite/verein/405/saison_id/2019,Dean Smith,38,-26,35,25.7,22,6100000,231700000,3000000,159500000,-156500000,17,2019
Southampton FC,https://www.transfermarkt.com/fc-southampton/startseite/verein/180/saison_id/2019,Ralph Hasenhüttl,38,-9,52,24.4,18,5850000,210750000,27300000,61500000,-34200000,11,2019
Brighton & Hove Albion,https://www.transfermarkt.com/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2019,Graham Potter,38,-15,41,24.7,28,4460000,200780000,8500000,72840000,-64340000,15,2019
Watford FC,https://www.transfermarkt.com/fc-watford/startseite/verein/1010/saison_id/2019,Javi Gracia,38,-28,34,25.7,27,4640000,199600000,25400000,48500000,-23100000,19,2019
Crystal Palace,https://www.transfermarkt.com/crystal-palace/startseite/verein/873/saison_id/2019,Roy Hodgson,38,-19,43,26.8,18,5740000,189330000,55380000,7600000,47780000,14,2019
Burnley FC,https://www.transfermarkt.com/fc-burnley/startseite/verein/1132/saison_id/2019,Sean Dyche,38,-7,54,26.3,12,4680000,163880000,13550000,23850000,-10300000,10,2019
Norwich City,https://www.transfermarkt.com/norwich-city/startseite/verein/1123/saison_id/2019,Daniel Farke,38,-49,21,25.5,25,3820000,145330000,2200000,8820000,-6620000,20,2019
Sheffield United,https://www.transfermarkt.com/sheffield-united/startseite/verein/350/saison_id/2019,Chris Wilder,38,0,54,27.3,15,4080000,138600000,350000,70500000,-70150000,9,2019
Manchester City,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2020,Pep Guardiola,38,51,86,24.9,23,29010000,1040000000,76650000,172300000,-95650000,1,2020
Liverpool FC,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2020,Jürgen Klopp,38,26,69,24.4,28,22550000,969650000,17200000,82650000,-65450000,3,2020
Chelsea FC,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2020,Frank Lampard,38,22,67,25.2,23,22800000,889200000,57400000,247200000,-189800000,4,2020
Manchester United,https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2020,Ole Gunnar Solskjaer,38,29,74,24.9,24,19740000,770050000,19500000,83800000,-64300000,2,2020
Tottenham Hotspur,https://www.transfermarkt.com/tottenham-hotspur/startseite/verein/148/saison_id/2020,José Mourinho,38,23,62,24.6,23,17160000,703500000,13300000,110500000,-97200000,7,2020
Arsenal FC,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2020,Mikel Arteta,38,16,61,24.4,26,14740000,619250000,19150000,86000000,-66850000,8,2020
Everton FC,https://www.transfermarkt.com/fc-everton/startseite/verein/29/saison_id/2020,Carlo Ancelotti,38,-1,59,24.7,26,11620000,511200000,4430000,73370000,-68940000,10,2020
Leicester City,https://www.transfermarkt.com/leicester-city/startseite/verein/1003/saison_id/2020,Brendan Rodgers,38,18,66,25.3,26,12770000,510700000,53770000,58500000,-4730000,5,2020
Wolverhampton Wanderers,https://www.transfermarkt.com/wolverhampton-wanderers/startseite/verein/543/saison_id/2020,Nuno Espírito Santo,38,-16,45,23.9,32,11850000,450300000,79200000,87800000,-8600000,13,2020
Aston Villa,https://www.transfermarkt.com/aston-villa/startseite/verein/405/saison_id/2020,Dean Smith,38,9,55,23.3,24,8130000,430750000,2770000,101350000,-98580000,11,2020
West Ham United,https://www.transfermarkt.com/west-ham-united/startseite/verein/379/saison_id/2020,David Moyes,38,15,65,26.5,23,8590000,334900000,45410000,54700000,-9290000,6,2020
Brighton & Hove Albion,https://www.transfermarkt.com/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2020,Graham Potter,38,-6,41,24.3,28,6310000,290400000,20600000,28500000,-7900000,16,2020
Southampton FC,https://www.transfermarkt.com/fc-southampton/startseite/verein/180/saison_id/2020,Ralph Hasenhüttl,38,-21,43,24.5,19,7250000,282800000,26300000,37300000,-11000000,15,2020
Newcastle United,https://www.transfermarkt.com/newcastle-united/startseite/verein/762/saison_id/2020,Steve Bruce,38,-16,45,26.9,18,7740000,255350000,275000,39000000,-38725000,12,2020
Fulham FC,https://www.transfermarkt.com/fc-fulham/startseite/verein/931/saison_id/2020,Scott Parker,38,-26,28,26.4,30,6310000,239750000,0,37250000,-37250000,18,2020
Leeds United,https://www.transfermarkt.com/leeds-united/startseite/verein/399/saison_id/2020,Marcelo Bielsa,38,8,59,24.5,23,6110000,238100000,0,106800000,-106800000,9,2020
Crystal Palace,https://www.transfermarkt.com/crystal-palace/startseite/verein/873/saison_id/2020,Roy Hodgson,38,-25,44,27.7,18,5380000,193850000,20000000,22400000,-2400000,14,2020
Sheffield United,https://www.transfermarkt.com/sheffield-united/startseite/verein/350/saison_id/2020,Chris Wilder,38,-43,23,24.9,14,3750000,149850000,0,62700000,-62700000,20,2020
West Bromwich Albion,https://www.transfermarkt.com/west-bromwich-albion/startseite/verein/984/saison_id/2020,Slaven Bilic,38,-41,26,26.1,18,3280000,141150000,8100000,42140000,-34040000,19,2020
Burnley FC,https://www.transfermarkt.com/fc-burnley/startseite/verein/1132/saison_id/2020,Sean Dyche,38,-22,39,26.6,11,4130000,132300000,2300000,1100000,1200000,17,2020
Manchester City,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2021,Erling Haaland,30,52,73,27.5,15,43600000,959300000,93800000,134500000,-40700000,1,2021
Liverpool FC,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2021,Divock Origi,30,57,72,27.0,19,33350000,900500000,27500000,85000000,-57500000,2,2021
Chelsea FC,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2021,César Azpilicueta,29,35,59,26.8,19,31560000,852000000,121950000,118000000,3950000,3,2021
Manchester United,https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2021,Toby Collyer,30,8,51,28.3,15,27430000,713250000,30700000,140000000,-109300000,6,2021
Tottenham Hotspur,https://www.transfermarkt.com/tottenham-hotspur/startseite/verein/148/saison_id/2021,Unai Simón,29,11,51,25.6,15,26690000,587250000,34120000,95900000,-61780000,5,2021
Arsenal FC,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2021,Mikel Arteta,28,13,54,24.6,14,24810000,521000000,31400000,167420000,-136020000,4,2021
Leicester City,https://www.transfermarkt.com/leicester-city/startseite/verein/1003/saison_id/2021,Brendan Rodgers,28,-4,37,27.0,18,19070000,514799999,4000000,67600000,-63600000,9,2021
Everton FC,https://www.transfermarkt.com/fc-everton/startseite/verein/29/saison_id/2021,Frank Lampard,27,-18,25,27.1,15,15440000,447750000,46000000,39500000,6500000,17,2021
Aston Villa,https://www.transfermarkt.com/aston-villa/startseite/verein/405/saison_id/2021,Kalvin Phillips,30,0,36,26.5,12,20640000,433500000,127000000,129820000,-2820000,10,2021
Wolverhampton Wanderers,https://www.transfermarkt.com/wolverhampton-wanderers/startseite/verein/543/saison_id/2021,Marçal,31,6,49,25.9,21,14080000,352000000,31800000,37600000,-5800000,7,2021
West Ham United,https://www.transfermarkt.com/west-ham-united/startseite/verein/379/saison_id/2021,David Moyes,30,10,48,28.8,16,14530000,348750000,4240000,74500000,-70260000,8,2021
Newcastle United,https://www.transfermarkt.com/newcastle-united/startseite/verein/762/saison_id/2021,Eddie Howe,29,-17,31,28.4,15,10390000,290900000,0,131500000,-131500000,15,2021
Leeds United,https://www.transfermarkt.com/leeds-united/startseite/verein/399/saison_id/2021,Kalvin Phillips,31,-33,30,24.9,15,12000000,288000000,0,58900000,-58900000,16,2021
Southampton FC,https://www.transfermarkt.com/fc-southampton/startseite/verein/180/saison_id/2021,Jun-ho Son,30,-9,36,26.5,15,10220000,265750000,60370000,43100000,17270000,11,2021
Crystal Palace,https://www.transfermarkt.com/crystal-palace/startseite/verein/873/saison_id/2021,Lucas Zelarayán,29,1,34,27.5,14,10000000,259950000,0,85620000,-85620000,12,2021
Brighton & Hove Albion,https://www.transfermarkt.com/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2021,Graham Potter,30,-10,34,25.4,15,11070000,254700000,78500000,73700000,4800000,13,2021
Brentford FC,https://www.transfermarkt.com/fc-brentford/startseite/verein/1148/saison_id/2021,Thomas Frank,31,-11,33,25.6,22,9240000,230900000,1000000,36700000,-35700000,14,2021
Norwich City,https://www.transfermarkt.com/norwich-city/startseite/verein/1123/saison_id/2021,Dean Smith,30,-45,18,25.7,19,5640000,146550000,38400000,64050000,-25650000,20,2021
Burnley FC,https://www.transfermarkt.com/fc-burnley/startseite/verein/1132/saison_id/2021,Sean Dyche,28,-18,21,29.8,10,5920000,142000000,40500000,45900000,-5400000,19,2021
Watford FC,https://www.transfermarkt.com/fc-watford/startseite/verein/1010/saison_id/2021,Roy Hodgson,30,-28,22,27.9,25,4840000,140300000,15850000,43500000,-27650000,18,2021
FC Barcelona,https://www.transfermarkt.com/fc-barcelona/startseite/verein/131/saison_id/2018,Ernesto Valverde,38,54,87,24.7,22,27300000,1200000000,146050000,141100000,4950000,1,2018
Real Madrid,https://www.transfermarkt.com/real-madrid/startseite/verein/418/saison_id/2018,Julen Lopetegui,38,17,68,24.6,20,24600000,1030000000,136100000,162750000,-26650000,3,2018
Atlético de Madrid,https://www.transfermarkt.com/atletico-madrid/startseite/verein/13/saison_id/2018,Diego Simeone,38,26,76,24.2,22,23820000,1000000000,57900000,168000000,-110100000,2,2018
Valencia CF,https://www.transfermarkt.com/fc-valencia/startseite/verein/1049/saison_id/2018,Marcelino,38,16,61,25.0,19,14260000,513450000,68800000,129199999,-60399999,4,2018
Sevilla FC,https://www.transfermarkt.com/fc-sevilla/startseite/verein/368/saison_id/2018,Pablo Machín,38,15,59,26.0,21,7910000,308300000,93800000,81050000,12750000,6,2018
Real Betis Balompié,https://www.transfermarkt.com/real-betis-sevilla/startseite/verein/150/saison_id/2018,Quique Setién,38,-8,50,25.4,17,7990000,303500000,49300000,44500000,4800000,10,2018
Real Sociedad,https://www.transfermarkt.com/real-sociedad-san-sebastian/startseite/verein/681/saison_id/2018,Asier Garitano,38,-1,50,24.1,9,9120000,300950000,30800000,12000000,18800000,9,2018
Villarreal CF,https://www.transfermarkt.com/fc-villarreal/startseite/verein/1050/saison_id/2018,Javier Calleja,38,-3,44,26.8,17,6380000,248950000,54800000,92900000,-38100000,14,2018
Athletic Bilbao,https://www.transfermarkt.com/athletic-bilbao/startseite/verein/621/saison_id/2018,Eduardo Berizzo,38,-4,53,26.9,2,7070000,240250000,80000000,32900000,47100000,8,2018
Celta de Vigo,https://www.transfermarkt.com/celta-vigo/startseite/verein/940/saison_id/2018,Antonio Mohamed,38,-9,41,25.4,21,7280000,240100000,35700000,30000000,5700000,17,2018
RCD Espanyol Barcelona,https://www.transfermarkt.com/espanyol-barcelona/startseite/verein/714/saison_id/2018,Rubi,38,-2,53,26.7,9,6120000,195700000,30800000,22600000,8200000,7,2018
Getafe CF,https://www.transfermarkt.com/fc-getafe/startseite/verein/3709/saison_id/2018,Pepe Bordalás,38,13,59,26.7,15,4099999,135400000,6000000,27250000,-21250000,5,2018
Deportivo Alavés,https://www.transfermarkt.com/deportivo-alaves/startseite/verein/1108/saison_id/2018,Abelardo,38,-11,50,25.4,12,3170000,114100000,9000000,10000000,-1000000,11,2018
CD Leganés,https://www.transfermarkt.com/cd-leganes/startseite/verein/1244/saison_id/2018,Mauricio Pellegrino,38,-6,45,25.9,19,2960000,112450000,24600000,18900000,5700000,13,2018
Levante UD,https://www.transfermarkt.com/ud-levante/startseite/verein/3368/saison_id/2018,Paco López,38,-7,44,25.8,11,3390000,108550000,39000000,26700000,12300000,15,2018
Girona FC,https://www.transfermarkt.com/fc-girona/startseite/verein/12321/saison_id/2018,Eusebio,38,-16,37,25.9,12,2950000,97250000,3300000,10200000,-6900000,18,2018
SD Eibar,https://www.transfermarkt.com/sd-eibar/startseite/verein/1533/saison_id/2018,José Luis Mendilibar,38,-4,47,27.3,8,3000000,96100000,7750000,8000000,-250000,12,2018
Rayo Vallecano,https://www.transfermarkt.com/rayo-vallecano/startseite/verein/367/saison_id/2018,Míchel,38,-29,32,26.2,13,2410000,86700000,13000000,12300000,700000,20,2018
Real Valladolid CF,https://www.transfermarkt.com/real-valladolid/startseite/verein/366/saison_id/2018,Sergio,38,-19,41,25.1,8,2020000,83000000,0,10100000,-10100000,16,2018
SD Huesca,https://www.transfermarkt.com/sd-huesca/startseite/verein/5358/saison_id/2018,Leo Franco,38,-22,33,26.7,15,1570000,61400000,400000,9800000,-9400000,19,2018
FC Barcelona,https://www.transfermarkt.com/fc-barcelona/startseite/verein/131/saison_id/2019,Ernesto Valverde,38,48,82,24.4,25,21650000,930930000,152900000,298500000,-145600000,2,2019
Real Madrid,https://www.transfermarkt.com/real-madrid/startseite/verein/418/saison_id/2019,Zinédine Zidane,38,45,87,25.6,20,27690000,913750000,135500000,355500000,-220000000,1,2019
Atlético de Madrid,https://www.transfermarkt.com/atletico-madrid/startseite/verein/13/saison_id/2019,Diego Simeone,38,24,70,24.8,17,21220000,721350000,309000000,246200000,62800000,3,2019
Valencia CF,https://www.transfermarkt.com/fc-valencia/startseite/verein/1049/saison_id/2019,Marcelino,38,-7,53,25.5,17,12960000,427800000,56300000,75000000,-18700000,9,2019
Real Sociedad,https://www.transfermarkt.com/real-sociedad-san-sebastian/startseite/verein/681/saison_id/2019,Imanol Alguacil,38,8,56,24.5,8,9650000,347550000,9500000,31750000,-22250000,6,2019
Sevilla FC,https://www.transfermarkt.com/fc-sevilla/startseite/verein/368/saison_id/2019,Julen Lopetegui,38,20,70,25.7,16,8420000,294750000,131449999,178730000,-47280001,4,2019
Real Betis Balompié,https://www.transfermarkt.com/real-betis-sevilla/startseite/verein/150/saison_id/2019,Rubi,38,-12,41,25.0,10,6430000,244350000,72000000,92750000,-20750000,15,2019
Athletic Bilbao,https://www.transfermarkt.com/athletic-bilbao/startseite/verein/621/saison_id/2019,Gaizka Garitano,38,3,51,26.3,1,6620000,211750000,0,0,0,11,2019
Villarreal CF,https://www.transfermarkt.com/fc-villarreal/startseite/verein/1050/saison_id/2019,Javier Calleja,38,14,60,26.4,11,6320000,208680000,69300000,43800000,25500000,5,2019
Getafe CF,https://www.transfermarkt.com/fc-getafe/startseite/verein/3709/saison_id/2019,Pepe Bordalás,38,6,54,28.0,17,5320000,175450000,11250000,21500000,-10250000,8,2019
Celta de Vigo,https://www.transfermarkt.com/celta-vigo/startseite/verein/940/saison_id/2019,Fran Escribá,38,-12,37,24.9,13,4770000,167000000,40650000,24600000,16050000,17,2019
RCD Espanyol Barcelona,https://www.transfermarkt.com/espanyol-barcelona/startseite/verein/714/saison_id/2019,David Gallego,38,-31,25,25.8,12,3900000,156050000,59000000,61500000,-2500000,20,2019
CD Leganés,https://www.transfermarkt.com/cd-leganes/startseite/verein/1244/saison_id/2019,Mauricio Pellegrino,38,-21,36,25.3,16,2810000,109700000,40820000,16450000,24370000,18,2019
Deportivo Alavés,https://www.transfermarkt.com/deportivo-alaves/startseite/verein/1108/saison_id/2019,Asier Garitano,38,-25,39,26.1,11,2890000,106750000,22500000,11770000,10730000,16,2019
Levante UD,https://www.transfermarkt.com/ud-levante/startseite/verein/3368/saison_id/2019,Paco López,38,-6,49,26.5,8,2740000,90500000,14900000,14600000,300000,12,2019
Real Valladolid CF,https://www.transfermarkt.com/real-valladolid/startseite/verein/366/saison_id/2019,Sergio,38,-11,42,25.6,9,2370000,87780000,8000000,1400000,6600000,13,2019
RCD Mallorca,https://www.transfermarkt.com/rcd-mallorca/startseite/verein/237/saison_id/2019,Vicente Moreno,38,-25,33,26.4,15,1850000,64680000,0,7500000,-7500000,19,2019
CA Osasuna,https://www.transfermarkt.com/ca-osasuna/startseite/verein/331/saison_id/2019,Jagoba Arrasate,38,-8,52,26.4,4,1700000,62780000,300000,14450000,-14150000,10,2019
Granada CF,https://www.transfermarkt.com/fc-granada/startseite/verein/16795/saison_id/2019,Diego Martínez,38,7,56,25.9,13,1660000,56580000,300000,10750000,-10450000,7,2019
SD Eibar,https://www.transfermarkt.com/sd-eibar/startseite/verein/1533/saison_id/2019,José Luis Mendilibar,38,-17,42,28.3,11,1850000,53750000,27000000,17300000,9700000,14,2019
FC Barcelona,https://www.transfermarkt.com/fc-barcelona/startseite/verein/131/saison_id/2020,Quique Setién,38,47,79,25.0,21,24770000,817500000,146800000,112000000,34800000,3,2020
Real Madrid,https://www.transfermarkt.com/real-madrid/startseite/verein/418/saison_id/2020,Zinédine Zidane,38,39,84,24.8,17,21280000,787300000,104200000,0,104200000,2,2020
Atlético de Madrid,https://www.transfermarkt.com/atletico-madrid/startseite/verein/13/saison_id/2020,Diego Simeone,38,42,86,24.9,21,19820000,773100000,83300000,89000000,-5700000,1,2020
Sevilla FC,https://www.transfermarkt.com/fc-sevilla/startseite/verein/368/saison_id/2020,Julen Lopetegui,38,20,77,25.6,17,11010000,418250000,19680000,72250000,-52570000,4,2020
Real Sociedad,https://www.transfermarkt.com/real-sociedad-san-sebastian/startseite/verein/681/saison_id/2020,Imanol Alguacil,38,21,62,24.7,6,10700000,406600000,28250000,10000000,18250000,5,2020
Villarreal CF,https://www.transfermarkt.com/fc-villarreal/startseite/verein/1050/saison_id/2020,Javier Calleja,38,16,58,25.9,13,8130000,292600000,26650000,36500000,-9850000,7,2020
Valencia CF,https://www.transfermarkt.com/fc-valencia/startseite/verein/1049/saison_id/2020,Javi Gracia,38,-3,43,24.7,20,7970000,278850000,87850000,0,87850000,13,2020
Real Betis Balompié,https://www.transfermarkt.com/real-betis-sevilla/startseite/verein/150/saison_id/2020,Manuel Pellegrini,38,0,61,26.8,12,6290000,207700000,43800000,0,43800000,6,2020
Athletic Bilbao,https://www.transfermarkt.com/athletic-bilbao/startseite/verein/621/saison_id/2020,Gaizka Garitano,38,4,46,25.9,1,6380000,204150000,0,12000000,-12000000,9,2020
