team_name,team_url,team_manager,team_league_matches,team_league_pd,team_league_pts,team_avg_age,team_foreigners,team_avg_val,team_total_val,team_transfer_income,team_transfer_expense,team_transfer_net,team_rank,season
US Sassuolo,https://www.transfermarkt.com/us-sassuolo/startseite/verein/6574/saison_id/2019,Roberto De Zerbi,38,6,51,24.3,17,3820000,167980000,51950000,66090000,-14140000,8,2019
Cagliari Calcio,https://www.transfermarkt.com/cagliari-calcio/startseite/verein/1390/saison_id/2019,Rolando Maran,38,-4,45,25.8,16,4090000,167830000,18760000,41600000,-22840000,14,2019
Torino FC,https://www.transfermarkt.com/fc-turin/startseite/verein/416/saison_id/2019,Walter Mazzarri,38,-22,40,24.7,17,4420000,163550000,24400000,28800000,-4400000,16,2019
Genoa CFC,https://www.transfermarkt.com/genua-cfc/startseite/verein/252/saison_id/2019,Aurelio Andreazzoli,38,-26,39,26.2,25,3310000,142380000,66250000,50370000,15880000,17,2019
UC Sampdoria,https://www.transfermarkt.com/sampdoria-genua/startseite/verein/1038/saison_id/2019,Eusebio Di Francesco,38,-17,42,25.1,19,3560000,135280000,74390000,64950000,9440000,15,2019
Bologna FC 1909,https://www.transfermarkt.com/fc-bologna/startseite/verein/1025/saison_id/2019,Sinisa Mihajlovic,38,-13,47,24.5,26,3240000,129650000,28680000,67040000,-38360000,12,2019
Parma Calcio 1913,https://www.transfermarkt.com/parma-calcio-1913/startseite/verein/130/saison_id/2019,Roberto D'Aversa,38,-1,49,26.1,19,3220000,128750000,18160000,23310000,-5150000,11,2019
Udinese Calcio,https://www.transfermarkt.com/udinese-calcio/startseite/verein/410/saison_id/2019,Igor Tudor,38,-14,45,24.9,28,3100000,121080000,59870000,12600000,47270000,13,2019
Hellas Verona,https://www.transfermarkt.com/hellas-verona/startseite/verein/276/saison_id/2019,Ivan Juric,38,-4,49,25.0,19,2810000,112530000,43670000,22690000,20980000,9,2019
Brescia Calcio,https://www.transfermarkt.com/brescia-calcio/startseite/verein/19/saison_id/2019,Eugenio Corini,38,-44,25,25.9,10,2520000,83230000,100000,18650000,-18550000,19,2019
SPAL,https://www.transfermarkt.com/spal/startseite/verein/2722/saison_id/2019,Leonardo Semplici,38,-50,20,25.6,23,1750000,73630000,39450000,26150000,13300000,20,2019
US Lecce,https://www.transfermarkt.com/us-lecce/startseite/verein/1005/saison_id/2019,Fabio Liverani,38,-33,35,25.0,17,1110000,52330000,450000,6200000,-5750000,18,2019
Inter Milan,https://www.transfermarkt.com/inter-mailand/startseite/verein/46/saison_id/2020,Antonio Conte,38,54,91,25.2,22,16190000,663900000,82550000,125500000,-42950000,1,2020
Juventus FC,https://www.transfermarkt.com/juventus-turin/startseite/verein/506/saison_id/2020,Maurizio Sarri,38,39,78,24.7,26,14070000,633300000,107510000,155310000,-47800000,4,2020
AC Milan,https://www.transfermarkt.com/ac-mailand/startseite/verein/5/saison_id/2020,Stefano Pioli,38,33,79,23.9,27,13040000,547780000,47950000,34420000,13530000,2,2020
SSC Napoli,https://www.transfermarkt.com/ssc-neapel/startseite/verein/6195/saison_id/2020,Gennaro Gattuso,38,45,77,26.0,21,16570000,530200000,122060000,77500000,44560000,5,2020
Atalanta BC,https://www.transfermarkt.com/atalanta-bergamo/startseite/verein/800/saison_id/2020,Gian Piero Gasperini,38,43,78,25.0,21,11030000,430000000,73100000,59340000,13760000,3,2020
AS Roma,https://www.transfermarkt.com/as-rom/startseite/verein/12/saison_id/2020,Paulo Fonseca,38,10,62,24.6,28,8600000,395650000,47000000,72100000,-25100000,7,2020
SS Lazio,https://www.transfermarkt.com/lazio-rom/startseite/verein/398/saison_id/2020,Simone Inzaghi,38,6,68,25.6,32,7420000,326330000,6950000,41620000,-34670000,6,2020
ACF Fiorentina,https://www.transfermarkt.com/ac-florenz/startseite/verein/430/saison_id/2020,Giuseppe Iachini,38,-12,40,25.7,24,7000000,286800000,59400000,48500000,10900000,13,2020
US Sassuolo,https://www.transfermarkt.com/us-sassuolo/startseite/verein/6574/saison_id/2020,Roberto De Zerbi,38,8,62,24.9,18,6200000,241740000,61860000,28500000,33360000,8,2020
Cagliari Calcio,https://www.transfermarkt.com/cagliari-calcio/startseite/verein/1390/saison_id/2020,Walter Zenga,38,-16,37,25.4,19,4470000,187830000,42110000,33800000,8310000,16,2020
Torino FC,https://www.transfermarkt.com/fc-turin/startseite/verein/416/saison_id/2020,Moreno Longo,38,-19,37,25.4,22,4380000,175280000,27000000,46150000,-19150000,17,2020
Udinese Calcio,https://www.transfermarkt.com/udinese-calcio/startseite/verein/410/saison_id/2020,Luca Gotti,38,-16,40,25.8,30,4120000,173000000,30900000,21500000,9400000,14,2020
Hellas Verona,https://www.transfermarkt.com/hellas-verona/startseite/verein/276/saison_id/2020,Ivan Juric,38,-2,45,24.2,20,3420000,157210000,5300000,15750000,-10450000,10,2020
Bologna FC 1909,https://www.transfermarkt.com/fc-bologna/startseite/verein/1025/saison_id/2020,Sinisa Mihajlovic,38,-14,41,24.1,27,3410000,153600000,5000000,3150000,1850000,12,2020
Parma Calcio 1913,https://www.transfermarkt.com/parma-calcio-1913/startseite/verein/130/saison_id/2020,Roberto D'Aversa,38,-44,20,25.1,30,2430000,128699999,4300000,104330000,-100030000,20,2020
UC Sampdoria,https://www.transfermarkt.com/sampdoria-genua/startseite/verein/1038/saison_id/2020,Claudio Ranieri,38,-2,52,26.4,17,3740000,127180000,12100000,16950000,-4850000,9,2020
Genoa CFC,https://www.transfermarkt.com/genua-cfc/startseite/verein/252/saison_id/2020,Davide Nicola,38,-11,42,26.5,23,2540000,111930000,64050000,62400000,1650000,11,2020
Spezia Calcio,https://www.transfermarkt.com/spezia-calcio/startseite/verein/3522/saison_id/2020,Vincenzo Italiano,38,-20,39,25.7,17,1840000,71680000,1940000,5030000,-3090000,15,2020
FC Crotone,https://www.transfermarkt.com/fc-crotone/startseite/verein/4083/saison_id/2020,Giovanni Stroppa,38,-47,23,26.0,19,1290000,52750000,0,5490000,-5490000,19,2020
Benevento Calcio,https://www.transfermarkt.com/benevento-calcio/startseite/verein/4171/saison_id/2020,Filippo Inzaghi,38,-35,33,27.4,14,1390000,50130000,1000000,11100000,-10100000,18,2020
Juventus FC,https://www.transfermarkt.com/juventus-turin/startseite/verein/506/saison_id/2021,Antonio Rüdiger,30,21,59,27.0,14,22220000,555600000,63000000,126600000,-63600000,4,2021
Inter Milan,https://www.transfermarkt.com/inter-mailand/startseite/verein/46/saison_id/2021,Simone Inzaghi,29,38,60,30.0,17,21160000,528900000,203550000,38000000,165550000,3,2021
SSC Napoli,https://www.transfermarkt.com/ssc-neapel/startseite/verein/6195/saison_id/2021,Luciano Spalletti,30,31,63,27.3,18,19750000,493850000,3200000,22200000,-19000000,2,2021
AC Milan,https://www.transfermarkt.com/ac-mailand/startseite/verein/5/saison_id/2021,Divock Origi,30,27,66,26.7,20,17780000,480100000,3500000,77600000,-74100000,1,2021
Atalanta BC,https://www.transfermarkt.com/atalanta-bergamo/startseite/verein/800/saison_id/2021,Gian Piero Gasperini,29,20,51,27.2,18,15400000,384900000,40900000,69000000,-28100000,7,2021
AS Roma,https://www.transfermarkt.com/as-rom/startseite/verein/12/saison_id/2021,José Mourinho,30,15,51,25.1,18,13190000,369350000,13520000,127150000,-113630000,6,2021
SS Lazio,https://www.transfermarkt.com/lazio-rom/startseite/verein/398/saison_id/2021,Maurizio Sarri,31,14,52,27.6,18,10690000,267149999,7900000,13560000,-5660000,5,2021
ACF Fiorentina,https://www.transfermarkt.com/ac-florenz/startseite/verein/430/saison_id/2021,Vincenzo Italiano,29,10,47,26.9,17,9480000,237000000,105950000,60700000,45250000,8,2021
US Sassuolo,https://www.transfermarkt.com/us-sassuolo/startseite/verein/6574/saison_id/2021,Alessio Dionisi,31,5,43,26.4,16,8039999,233100000,25150000,34750000,-9600000,9,2021
Torino FC,https://www.transfermarkt.com/fc-turin/startseite/verein/416/saison_id/2021,Ivan Juric,30,5,38,25.3,19,7620000,221080000,16500000,12600000,3900000,11,2021
Bologna FC 1909,https://www.transfermarkt.com/fc-bologna/startseite/verein/1025/saison_id/2021,Sinisa Mihajlovic,29,-12,33,25.8,20,5030000,146000000,25600000,29410000,-3810000,13,2021
Cagliari Calcio,https://www.transfermarkt.com/cagliari-calcio/startseite/verein/1390/saison_id/2021,Walter Mazzarri,30,-26,25,26.1,12,4760000,128550000,7700000,14400000,-6700000,17,2021
Hellas Verona,https://www.transfermarkt.com/hellas-verona/startseite/verein/276/saison_id/2021,Igor Tudor,30,8,42,25.5,13,4840000,125830000,37700000,33500000,4200000,10,2021
Genoa CFC,https://www.transfermarkt.com/genua-cfc/startseite/verein/252/saison_id/2021,Alexander Blessin,30,-24,22,25.6,16,3640000,112800000,21500000,37200000,-15700000,18,2021
Udinese Calcio,https://www.transfermarkt.com/udinese-calcio/startseite/verein/410/saison_id/2021,Gabriele Cioffi,28,-10,30,26.6,20,4010000,104250000,72630000,9700000,62930000,15,2021
UC Sampdoria,https://www.transfermarkt.com/sampdoria-genua/startseite/verein/1038/saison_id/2021,Marco Giampaolo,30,-12,29,28.1,11,3690000,95900000,7300000,15000000,-7700000,16,2021
FC Empoli,https://www.transfermarkt.com/fc-empoli/startseite/verein/749/saison_id/2021,Aurelio Andreazzoli,30,-14,33,25.3,11,3250000,91100000,25900000,9800000,16100000,12,2021
Venezia FC,https://www.transfermarkt.com/venezia-fc/startseite/verein/607/saison_id/2021,Paolo Zanetti,30,-30,22,26.4,21,2750000,82530000,200000,22090000,-21890000,19,2021
Spezia Calcio,https://www.transfermarkt.com/spezia-calcio/startseite/verein/3522/saison_id/2021,Thiago Motta,31,-22,32,23.6,22,2300000,71300000,5700000,24300000,-18600000,14,2021
US Salernitana 1919,https://www.transfermarkt.com/us-salernitana-1919/startseite/verein/380/saison_id/2021,Davide Nicola,29,-44,16,27.0,21,1570000,54850000,0,14350000,-14350000,20,2021
Paris Saint-Germain,https://www.transfermarkt.com/fc-paris-saint-germain/startseite/verein/583/saison_id/2018,Thomas Tuchel,38,70,91,24.9,22,25900000,1010000000,114000000,227000000,-113000000,1,2018
Olympique Lyon,https://www.transfermarkt.com/olympique-lyon/startseite/verein/1041/saison_id/2018,Bruno Génésio,38,23,72,23.7,16,13760000,467950000,90100000,46450000,43650000,3,2018
AS Monaco,https://www.transfermarkt.com/as-monaco/startseite/verein/162/saison_id/2018,Leonardo Jardim,38,-19,36,23.4,34,6770000,385830000,332250000,145850000,186400000,17,2018
LOSC Lille,https://www.transfermarkt.com/losc-lille/startseite/verein/1082/saison_id/2018,Christophe Galtier,38,35,75,23.7,24,8359999,267550000,69700000,8900000,60800000,2,2018
Olympique Marseille,https://www.transfermarkt.com/olympique-marseille/startseite/verein/244/saison_id/2018,Rudi Garcia,38,8,61,26.1,16,7830000,258350000,32850000,66000000,-33150000,5,2018
OGC Nice,https://www.transfermarkt.com/ogc-nizza/startseite/verein/417/saison_id/2018,Patrick Vieira,38,-5,56,22.7,16,4820000,183200000,61700000,28000000,33700000,7,2018
FC Girondins Bordeaux,https://www.transfermarkt.com/fc-girondins-bordeaux/startseite/verein/40/saison_id/2018,Gustavo Poyet,38,-8,41,23.8,23,4160000,179000000,50700000,21390000,29310000,14,2018
Stade Rennais FC,https://www.transfermarkt.com/fc-stade-rennes/startseite/verein/273/saison_id/2018,Sabri Lamouchi,38,3,52,23.8,17,4110000,168450000,18500000,18000000,500000,10,2018
AS Saint-Étienne,https://www.transfermarkt.com/as-saint-etienne/startseite/verein/618/saison_id/2018,Jean-Louis Gasset,38,18,66,24.3,17,3130000,131250000,18700000,15000000,3700000,4,2018
FC Nantes,https://www.transfermarkt.com/fc-nantes/startseite/verein/995/saison_id/2018,Miguel Cardoso,38,0,48,24.6,27,2990000,119500000,22200000,14350000,7850000,12,2018
FC Toulouse,https://www.transfermarkt.com/fc-toulouse/startseite/verein/415/saison_id/2018,Alain Casanova,38,-22,38,24.1,19,2830000,113250000,35500000,18450000,17050000,16,2018
Montpellier HSC,https://www.transfermarkt.com/montpellier-hsc/startseite/verein/969/saison_id/2018,Michel Der Zakarian,38,11,59,25.7,15,3430000,109850000,25500000,10150000,15350000,6,2018
RC Strasbourg Alsace,https://www.transfermarkt.com/rc-strassburg-alsace/startseite/verein/667/saison_id/2018,Thierry Laurey,38,10,49,25.2,14,2970000,98000000,14000000,15750000,-1750000,11,2018
Nîmes Olympique,https://www.transfermarkt.com/nimes-olympique/startseite/verein/1160/saison_id/2018,Bernard Blaquart,38,-1,53,25.0,14,2840000,88150000,0,3150000,-3150000,9,2018
Stade Reims,https://www.transfermarkt.com/stade-reims/startseite/verein/1421/saison_id/2018,David Guion,38,-3,55,24.5,22,2350000,86950000,11000000,15500000,-4500000,8,2018
SCO Angers,https://www.transfermarkt.com/sco-angers/startseite/verein/1420/saison_id/2018,Stéphane Moulin,38,-5,46,26.5,16,2100000,79700000,21000000,4450000,16550000,13,2018
EA Guingamp,https://www.transfermarkt.com/ea-guingamp/startseite/verein/855/saison_id/2018,Antoine Kombouaré,38,-40,27,25.3,15,1910000,70650000,4000000,3500000,500000,20,2018
Amiens SC,https://www.transfermarkt.com/amiens-sc/startseite/verein/1416/saison_id/2018,Christophe Pélissier,38,-21,38,25.4,18,1960000,70500000,10000000,7490000,2510000,15,2018
SM Caen,https://www.transfermarkt.com/sm-caen/startseite/verein/1162/saison_id/2018,Fabien Mercadal,38,-25,33,24.8,20,1730000,67550000,14500000,9950000,4550000,19,2018
Dijon FCO,https://www.transfermarkt.com/dijon-fco/startseite/verein/2969/saison_id/2018,Olivier Dall'Oglio,38,-29,34,25.7,18,2060000,65800000,4000000,9200000,-5200000,18,2018
Paris Saint-Germain,https://www.transfermarkt.com/fc-paris-saint-germain/startseite/verein/583/saison_id/2019,Thomas Tuchel,27,51,68,25.2,24,24980000,874150000,105900000,95000000,10900000,1,2019
Olympique Lyon,https://www.transfermarkt.com/olympique-lyon/startseite/verein/1041/saison_id/2019,Sylvinho,28,15,40,24.0,20,11650000,384550000,158320000,126000000,32320000,7,2019
AS Monaco,https://www.transfermarkt.com/as-monaco/startseite/verein/162/saison_id/2019,Leonardo Jardim,28,0,40,25.3,27,8490000,331030000,83750000,200000000,-116250000,9,2019
LOSC Lille,https://www.transfermarkt.com/losc-lille/startseite/verein/1082/saison_id/2019,Christophe Galtier,28,8,49,23.7,21,7990000,247780000,151000000,99000000,52000000,4,2019
Olympique Marseille,https://www.transfermarkt.com/olympique-marseille/startseite/verein/244/saison_id/2019,André Villas-Boas,28,12,56,24.3,11,6360000,216150000,27250000,27000000,250000,2,2019
OGC Nice,https://www.transfermarkt.com/ogc-nizza/startseite/verein/417/saison_id/2019,Patrick Vieira,28,3,41,23.1,17,4690000,173450000,23110000,52200000,-29090000,6,2019
Stade Rennais FC,https://www.transfermarkt.com/fc-stade-rennes/startseite/verein/273/saison_id/2019,Julien Stéphan,28,14,50,25.0,16,5210000,171880000,54500000,58100000,-3600000,3,2019
FC Girondins Bordeaux,https://www.transfermarkt.com/fc-girondins-bordeaux/startseite/verein/40/saison_id/2019,Paulo Sousa,28,6,37,25.0,19,4040000,125350000,52250000,17000000,35250000,12,2019
FC Nantes,https://www.transfermarkt.com/fc-nantes/startseite/verein/995/saison_id/2019,Vahid Halilhodzic,28,-3,37,25.0,19,3030000,106150000,38500000,18750000,19750000,13,2019
AS Saint-Étienne,https://www.transfermarkt.com/as-saint-etienne/startseite/verein/618/saison_id/2019,Ghislain Printant,28,-16,30,24.8,15,2560000,104830000,45850000,13000000,32850000,17,2019
RC Strasbourg Alsace,https://www.transfermarkt.com/rc-strassburg-alsace/startseite/verein/667/saison_id/2019,Thierry Laurey,27,0,38,25.7,14,2940000,91130000,21500000,11000000,10500000,10,2019
SCO Angers,https://www.transfermarkt.com/sco-angers/startseite/verein/1420/saison_id/2019,Stéphane Moulin,28,-5,39,25.9,12,2890000,89480000,34000000,10400000,23600000,11,2019
Montpellier HSC,https://www.transfermarkt.com/montpellier-hsc/startseite/verein/969/saison_id/2019,Michel Der Zakarian,28,1,40,26.2,14,2720000,81680000,40000000,20300000,19700000,8,2019
Stade Reims,https://www.transfermarkt.com/stade-reims/startseite/verein/1421/saison_id/2019,David Guion,28,5,41,23.7,21,2630000,81680000,26600000,18700000,7900000,5,2019
FC Toulouse,https://www.transfermarkt.com/fc-toulouse/startseite/verein/415/saison_id/2019,Alain Casanova,28,-36,13,23.5,12,2049999,71880000,17150000,14000000,3150000,20,2019
Amiens SC,https://www.transfermarkt.com/amiens-sc/startseite/verein/1416/saison_id/2019,Luka Elsner,28,-19,23,25.3,20,1670000,61930000,5440000,18150000,-12710000,19,2019
FC Metz,https://www.transfermarkt.com/fc-metz/startseite/verein/347/saison_id/2019,Vincent Hognon,28,-8,34,24.4,21,1690000,54100000,2600000,14350000,-11750000,15,2019
Dijon FCO,https://www.transfermarkt.com/dijon-fco/startseite/verein/2969/saison_id/2019,Stéphane Jobard,28,-10,30,25.3,19,1620000,50230000,24500000,10500000,14000000,16,2019
Nîmes Olympique,https://www.transfermarkt.com/nimes-olympique/startseite/verein/1160/saison_id/2019,Bernard Blaquart,28,-15,27,23.8,12,1420000,49650000,20500000,9850000,10650000,18,2019
Stade Brestois 29,https://www.transfermarkt.com/stade-brest-29/startseite/verein/3911/saison_id/2019,Olivier Dall'Oglio,28,-3,34,26.0,8,1710000,47780000,500000,7500000,-7000000,14,2019
Paris Saint-Germain,https://www.transfermarkt.com/fc-paris-saint-germain/startseite/verein/583/saison_id/2020,Thomas Tuchel,38,58,82,24.2,28,19630000,805000000,400000,62000000,-61600000,2,2020
Olympique Lyon,https://www.transfermarkt.com/olympique-lyon/startseite/verein/1041/saison_id/2020,Rudi Garcia,38,38,76,24.2,28,10780000,431350000,50600000,33250000,17350000,4,2020
AS Monaco,https://www.transfermarkt.com/as-monaco/startseite/verein/162/saison_id/2020,Niko Kovac,38,34,78,24.0,18,11220000,370350000,12730000,52700000,-39970000,3,2020
LOSC Lille,https://www.transfermarkt.com/losc-lille/startseite/verein/1082/saison_id/2020,Christophe Galtier,38,41,83,23.6,20,10100000,323200000,104180000,40430000,63750000,1,2020
Stade Rennais FC,https://www.transfermarkt.com/fc-stade-rennes/startseite/verein/273/saison_id/2020,Julien Stéphan,38,12,58,24.2,13,8039999,297500000,55420000,70560000,-15140000,6,2020
Olympique Marseille,https://www.transfermarkt.com/olympique-marseille/startseite/verein/244/saison_id/2020,André Villas-Boas,38,7,60,24.2,19,5850000,251400000,32049999,16930000,15119999,5,2020
OGC Nice,https://www.transfermarkt.com/ogc-nizza/startseite/verein/417/saison_id/2020,Patrick Vieira,38,-3,52,22.4,16,5760000,236100000,20110000,29230000,-9120000,9,2020
AS Saint-Étienne,https://www.transfermarkt.com/as-saint-etienne/startseite/verein/618/saison_id/2020,Claude Puel,38,-12,46,23.6,16,3590000,154500000,44100000,5600000,38500000,11,2020
Montpellier HSC,https://www.transfermarkt.com/montpellier-hsc/startseite/verein/969/saison_id/2020,Michel Der Zakarian,38,-2,54,25.2,13,3350000,113850000,0,13100000,-13100000,8,2020
SCO Angers,https://www.transfermarkt.com/sco-angers/startseite/verein/1420/saison_id/2020,Stéphane Moulin,38,-18,44,25.8,17,2940000,111650000,10700000,11250000,-550000,13,2020
RC Strasbourg Alsace,https://www.transfermarkt.com/rc-strassburg-alsace/startseite/verein/667/saison_id/2020,Thierry Laurey,38,-9,42,25.2,18,3230000,109650000,500000,12000000,-11500000,15,2020
FC Girondins Bordeaux,https://www.transfermarkt.com/fc-girondins-bordeaux/startseite/verein/40/saison_id/2020,Paulo Sousa,38,-14,45,25.4,19,2940000,105700000,17000000,0,17000000,12,2020
Stade Reims,https://www.transfermarkt.com/stade-reims/startseite/verein/1421/saison_id/2020,David Guion,38,-8,42,23.1,25,3090000,105180000,17000000,11200000,5800000,14,2020
RC Lens,https://www.transfermarkt.com/rc-lens/startseite/verein/826/saison_id/2020,Franck Haise,38,1,57,24.9,16,2900000,104300000,0,19000000,-19000000,7,2020
FC Metz,https://www.transfermarkt.com/fc-metz/startseite/verein/347/saison_id/2020,Vincent Hognon,38,-4,47,24.6,25,2960000,103500000,10000000,14700000,-4700000,10,2020
Stade Brestois 29,https://www.transfermarkt.com/stade-brest-29/startseite/verein/3911/saison_id/2020,Olivier Dall'Oglio,38,-16,41,25.2,9,3230000,103230000,12000000,16100000,-4100000,17,2020
FC Nantes,https://www.transfermarkt.com/fc-nantes/startseite/verein/995/saison_id/2020,Christian Gourcuff,38,-8,40,25.4,15,2960000,94750000,2000000,5000000,-3000000,18,2020
FC Lorient,https://www.transfermarkt.com/fc-lorient/startseite/verein/1158/saison_id/2020,Christophe Pélissier,38,-18,42,26.4,14,2140000,72880000,6500000,26500000,-20000000,16,2020
Dijon FCO,https://www.transfermarkt.com/dijon-fco/startseite/verein/2969/saison_id/2020,Stéphane Jobard,38,-48,21,24.3,25,1770000,65629999,17000000,15800000,1200000,20,2020
Nîmes Olympique,https://www.transfermarkt.com/nimes-olympique/startseite/verein/1160/saison_id/2020,Jérôme Arpinon,38,-31,35,24.9,18,1680000,60400000,2500000,11250000,-8750000,19,2020
Paris Saint-Germain,https://www.transfermarkt.com/fc-paris-saint-germain/startseite/verein/583/saison_id/2021,Mauricio Pochettino,29,32,65,25.7,24,25810000,903450000,11000000,89500000,-78500000,1,2021
AS Monaco,https://www.transfermarkt.com/as-monaco/startseite/verein/162/saison_id/2021,Philippe Clement,29,13,44,24.3,17,12100000,350850000,34750000,45500000,-10750000,7,2021
Olympique Lyon,https://www.transfermarkt.com/olympique-lyon/startseite/verein/1041/saison_id/2021,Peter Bosz,29,3,42,24.5,15,12290000,344050000,95600000,22920000,72680000,10,2021
Olympique Marseille,https://www.transfermarkt.com/olympique-marseille/startseite/verein/244/saison_id/2021,Jorge Sampaoli,29,18,53,24.1,17,9020000,252600000,7500000,47120000,-39620000,3,2021
OGC Nice,https://www.transfermarkt.com/ogc-nizza/startseite/verein/417/saison_id/2021,Christophe Galtier,30,16,51,24.0,17,9240000,249600000,25100000,55000000,-29900000,4,2021
LOSC Lille,https://www.transfermarkt.com/losc-lille/startseite/verein/1082/saison_id/2021,Jocelyn Gourvennec,30,3,47,25.8,17,11060000,243300000,75360000,20000000,55360000,6,2021
Stade Rennais FC,https://www.transfermarkt.com/fc-stade-rennes/startseite/verein/273/saison_id/2021,Bruno Génésio,30,35,53,23.8,10,8630000,224400000,45650000,79500000,-33850000,2,2021
RC Lens,https://www.transfermarkt.com/rc-lens/startseite/verein/826/saison_id/2021,Franck Haise,29,6,44,25.3,15,4790000,119700000,18000000,20600000,-2600000,8,2021
Stade Reims,https://www.transfermarkt.com/stade-reims/startseite/verein/1421/saison_id/2021,Óscar García,29,1,36,23.7,21,3920000,117650000,15050000,16000000,-950000,12,2021
AS Saint-Étienne,https://www.transfermarkt.com/as-saint-etienne/startseite/verein/618/saison_id/2021,Pascal Dupraz,29,-22,27,25.0,15,3510000,105400000,0,600000,-600000,18,2021
Montpellier HSC,https://www.transfermarkt.com/montpellier-hsc/startseite/verein/969/saison_id/2021,Olivier Dall'Oglio,29,3,41,24.8,11,4190000,104750000,25000000,200000,24800000,11,2021
RC Strasbourg Alsace,https://www.transfermarkt.com/rc-strassburg-alsace/startseite/verein/667/saison_id/2021,Julien Stéphan,29,18,48,26.1,9,4250000,102000000,16000000,4500000,11500000,5,2021
FC Nantes,https://www.transfermarkt.com/fc-nantes/startseite/verein/995/saison_id/2021,Antoine Kombouaré,29,5,42,26.0,12,3920000,102000000,15800000,7500000,8300000,9,2021
FC Girondins Bordeaux,https://www.transfermarkt.com/fc-girondins-bordeaux/startseite/verein/40/saison_id/2021,David Guion,30,-32,23,25.1,18,2880000,89300000,17860000,9800000,8060000,20,2021
FC Metz,https://www.transfermarkt.com/fc-metz/startseite/verein/347/saison_id/2021,Frédéric Antonetti,29,-26,23,25.7,18,2930000,88000000,21500000,2500000,19000000,19,2021
Stade Brestois 29,https://www.transfermarkt.com/stade-brest-29/startseite/verein/3911/saison_id/2021,Michel Der Zakarian,29,-7,35,25.6,8,3060000,79450000,28200000,9500000,18700000,13,2021
SCO Angers,https://www.transfermarkt.com/sco-angers/startseite/verein/1420/saison_id/2021,Gérald Baticle,29,-9,32,26.2,13,2690000,67250000,18100000,1800000,16300000,14,2021
ESTAC Troyes,https://www.transfermarkt.com/es-troyes-ac/startseite/verein/1095/saison_id/2021,Bruno Irles,29,-15,29,26.2,16,1820000,56500000,0,21800000,-21800000,15,2021
FC Lorient,https://www.transfermarkt.com/fc-lorient/startseite/verein/1158/saison_id/2021,Christophe Pélissier,29,-19,28,25.6,10,2029999,54700000,10000000,10500000,-500000,16,2021
Clermont Foot 63,https://www.transfermarkt.com/clermont-foot-63/startseite/verein/3524/saison_id/2021,Pascal Gastien,29,-23,28,26.0,15,1700000,45950000,0,0,0,17,2021
